"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping","Mapping: W5 Mapping"
"Contract","","","",0,*,"","","","","Contract","A formal agreement between parties regarding the conduct of business, exchange of information or other matters.","","","","","","","","","",,,,,"",,,,"Contract",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-1:If the resource is contained in another resource, it SHALL NOT contain any narrative {contained.text.empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource {contained.where(('#'+id in %resource.descendants().reference).not()).empty()}","Entity. Role, or Act","FinancialContract","financial.other"
"Contract.id","","","",0,1,"","","Y","id
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"Contract.meta","","","",0,1,"","","Y","Meta
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content may not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"",""
"Contract.subject","","Patient
","",0,*,"","","Y","Reference {http://hl7.org/fhir/StructureDefinition/Resource}
","Contract Target Entity","The target entity impacted by or of interest to parties to the agreement.","The Contract.subject is an entity that has some role with respect to the Contract.topic and Contract.topic.term, which is of focal interest to the parties to the contract and likely impacted in a significant way by the Contract.action/Contract.action.reason and the Contract.term.action/Contract.action.reason.  In many cases, the Contract.subject is a Contract.signer if the subject is an adult; has a legal interest in the contract; and incompetent to participate in the contract agreement.","The Contract.subject is an entity that has some role with respect to the Contract.topic and Contract.topic.term, which is of focal interest to the parties to the contract and likely impacted in a significant way by the Contract.action/Contract.action.reason and the Contract.term.action/Contract.action.reason.  In many cases, the Contract.subject is a Contract.signer if the subject is an adult; has a legal interest in the contract; and incompetent to participate in the contract agreement.","","","","","","","",,,,,"",,,,"Contract.subject",0,*,"","","Role"
"Contract.topic","","","",0,*,"","","Y","Reference {http://hl7.org/fhir/StructureDefinition/Resource}
","Context of the Contract","The matter of concern in the context of this agreement.","The Contract.topic may be an application for or offer of a policy or service (e.g., uri to a consent directive form or a health insurance policy), which becomes the Contract once accepted by both the grantor and grantee.  The Contract Resource may function simply as the computable representation of the executed contract, which may be the attached to the Contract Resource as the “binding” or as the “friendly” electronic form.  For example, a Contract Resource may be automatically populated with the values expressed in a related QuestionnaireResponse.  However, the Contract Resource may be considered the legally binding contract if it is the only “executed” form of this contract, and includes the signatures as *The Contract Resource may function as the computable representation of an application or offer in a pre-executed Contract if the grantor has not entered any values.  In this case, it is populated with values in a “legal” form of the application or offer or by the values in an associated Questionnaire.  If the grantor has filled in the legal form or the associated Questionnaire Response, then these values are used to populate a pre-executed Contract Resource. If the Contract.topic is considered an application or offer, then the policy is often required to be attached as the “legal” basis for the application to ensure “informed consent” to the contract, and that any discrepancy between the application and the policy are interpreted against the policy.  Implementers should check organizational and jurisdictional policies to determine the relationship among multiple representations of a contract pre- and post-execution.","In the context of a contract, the topic is the matter under consideration in regards to which specific rights, privileges, obligations, restrictions, and prohibitions are binding on any grantor and grantee parties upon the execution of the contract.  Given the wide range of contract topics, implementers need to be cognizant of the business use case for which they are designing a FHIR Contract, and narrowly specify the topic being represented with respect to the Contract.type and any specializing Contract.subtype.  The same topic, e.g., an asset such as a good or service, such as a real property, medical supply, insurance, information, a procedure or employment, or a manner of conduct, such adherence to a privacy, trust, or security policy, may be the topic of multiple types of contracts.  One way to determine the Contract.topic is to answer the question: “What is the object of negotiation?” Answer: The Contract.topic, which may be described with more detail in the [0..*]Contract.valuedItem @ [0..1] Contract.valuedItem.entity[x] Definition: Specific type of Contract Valued Item that may be priced. CodeableConcept|Reference(Any) Contract.topic is “the what” that a grantor is exchanging with a grantee in return for some benefit.  Contract.topic is “the what” to which any Contract.action is being applied for any stipulated Contract.action.reason.  AContract.topic is “the what” governed by the execution of the contract to which any party’s rights, privileges, obligations, restrictions, and prohibitions apply.","","","","","","","",,,,,"",,,,"Contract.topic",0,*,"","","Role"
"Contract.authority","","","",0,*,"","","","Reference {http://hl7.org/fhir/StructureDefinition/Organization}
","Authority under which this Contract has standing","A formally or informally recognized grouping of people, principals, organizations, or jurisdictions formed for the purpose of achieving some form of collective action such as the promulgation, administration and enforcement of contracts and policies.","","","","","","","","","",,,,,"",,,,"Contract.authority",0,*,"","","Role Scoper"
"Contract.domain","","scope of governance jurisdiction
","",0,*,"","","","Reference {http://hl7.org/fhir/StructureDefinition/Location}
","Domain in which this Contract applies","Recognized governance framework or system operating with a circumscribed scope in accordance with specified principles, policies, processes or procedures for managing rights, actions, or behaviors of parties or principals relative to resources.","","","","","","","","","",,,,,"",,,,"Contract.domain",0,*,"",""
"Contract.type","","","Consent",1,1,"","","Y","CodeableConcept
","Consent","SHALL contain exactly one [1..1] type=""CONS"" (CodeSystem: HL7ActClass urn:oid:2.16.840.1.113883.5.6) (CONF:2219-2008).","","","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <system value=""urn:oid:2.16.840.1.113883.5.6""/>
    <code value=""CONS""/>
  </coding>
</valueCodeableConcept>","","","",,"example","List of overall contract codes.","http://hl7.org/fhir/ValueSet/contract-type","",,,,"Contract.type",0,1,"","","CNTRCT"
"Contract.subType","","","Type of consent",0,1,"","","Y","CodeableConcept
","Type of consent","MAY contain zero or one [0..1] subType (CONF:2219-2009).","","","","","","","","","",,"example","Detailed codes within the above.","http://hl7.org/fhir/ValueSet/contract-subtype","",,,,"Contract.subType",0,*,"","","e.g. RECOV"
"Contract.action","","","",0,*,"","","","CodeableConcept
","Contract Action","Action stipulated by this Contract.","","","","","","","","","",,"example","Detailed codes for the contract action.","http://hl7.org/fhir/ValueSet/contract-action","",,,,"Contract.action",0,*,"","","e.g. JURISPOL"
"Contract.actionReason","","","",0,*,"","","","CodeableConcept
","Contract Action Reason","Reason for action stipulated by this Contract.","","","","","","","","","",,"example","Detailed codes for the contract action reason.","http://hl7.org/fhir/ValueSet/v3-PurposeOfUse","",,,,"Contract.actionReason",0,*,"","","e.g. QUALIMP"
"Contract.agent","","","",0,*,"","","","BackboneElement
","Contract Agent","An actor taking a role in an activity for which it can be assigned some degree of responsibility for the activity taking place.","Several agents may be associated (i.e. has some responsibility for an activity) with an activity and vice-versa. For example, in cases of actions initiated by one user for other users, or in events that involve more than one user, hardware device, software, or system process. However, only one user may be the initiator/requestor for the event.","An agent can be a person, an organization, software, device, or other entities that may be ascribed responsibility.","","","","","","","",,,,,"",,,,"Contract.agent",0,*,"","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
"
"Contract.agent.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Contract.agent.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"Contract.agent.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"Contract.agent.actor","","","",1,1,"","","","Reference {http://hl7.org/fhir/StructureDefinition/Contract}
Reference {http://hl7.org/fhir/StructureDefinition/Device}Reference {http://hl7.org/fhir/StructureDefinition/Group}Reference {http://hl7.org/fhir/StructureDefinition/Location}Reference {http://hl7.org/fhir/StructureDefinition/Organization}Reference {http://hl7.org/fhir/StructureDefinition/Patient}Reference {http://hl7.org/fhir/StructureDefinition/Practitioner}Reference {http://hl7.org/fhir/StructureDefinition/RelatedPerson}Reference {http://hl7.org/fhir/StructureDefinition/Substance}","Contract Agent Type","Who or what parties are assigned roles in this Contract.","","","","","","","","","",,,,,"",,,,"Contract.agent.actor",1,1,"",""
"Contract.agent.role","","","",0,*,"","","","CodeableConcept
","Contract  Agent Role","Role type of agent assigned roles in this Contract.","","","","","","","","","",,"example","Detailed codes for the contract actor role.","http://hl7.org/fhir/ValueSet/contract-actorrole","",,,,"Contract.agent.role",0,*,"",""
"Contract.signer","","","",0,*,"","","","BackboneElement
","Contract Signer","Parties with legal standing in the Contract, including the principal parties, the grantor(s) and grantee(s), which are any person or organization bound by the contract, and any ancillary parties, which facilitate the execution of the contract such as a notary or witness.","Signers who are principal parties to the contract are bound by the Contract.activity related to the Contract.topic, and the Contract.term(s), which either extend or restrict the overall action on the topic by, for example, stipulating specific policies or obligations constraining actions, action reason, or agents with respect to some or all of the topic. For example, specifying how policies or obligations shall constrain actions and action reasons permitted or denied on all or a subset of the Contract.topic (e.g., all or a portion of property being transferred by the contract), agents (e.g., who can resell, assign interests, or alter the property being transferred by the contract), actions, and action reasons; or with respect to Contract.terms, stipulating, extending, or limiting the Contract.period of applicability or valuation of items under consideration.","The Contract.signer applies a signature to the Contract.binding referenced resource, which is the documentation that is the legal ""source of truth"". The Contract.signer may delegate, such as a legally recognized personal representative, or have a delegate assigned e.g., by a court of law, to actually sign the Contract, such as a trustee in the case of incompetence.","","","","","","","",,,,,"",,,,"Contract.signer",0,*,"","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
"
"Contract.signer.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Contract.signer.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"Contract.signer.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"Contract.signer.type","","","",1,1,"","","","Coding
","Contract Signer Type","Role of this Contract signer, e.g. notary, grantee.","","","","","","","","","",,"preferred","List of parties who may be signing.","http://hl7.org/fhir/ValueSet/contract-signer-type","",,,,"Contract.signer.type",1,1,"",""
"Contract.signer.party","","","",1,1,"","","","Reference {http://hl7.org/fhir/StructureDefinition/Organization}
Reference {http://hl7.org/fhir/StructureDefinition/Patient}Reference {http://hl7.org/fhir/StructureDefinition/Practitioner}Reference {http://hl7.org/fhir/StructureDefinition/RelatedPerson}","Contract Signatory Party","Party which is a signator to this Contract.","","","","","","","","","",,,,,"",,,,"Contract.signer.party",1,1,"",""
"Contract.signer.signature","","","",1,*,"","","","Signature
","Contract Documentation Signature","Legally binding Contract DSIG signature contents in Base64.","","","","","","","","","",,,,,"",,,,"Contract.signer.signature",1,*,"",""
"Contract.valuedItem","","","",0,*,"","","","BackboneElement
","Contract Valued Item","Contract Valued Item List.","","","","","","","","","",,,,,"",,,,"Contract.valuedItem",0,*,"","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
","COCT_RM440000UV09 ValuedItem classCode INVE"
"Contract.valuedItem.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Contract.valuedItem.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"Contract.valuedItem.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"Contract.valuedItem.entity[x]","","","",0,1,"","","","CodeableConcept
Reference {http://hl7.org/fhir/StructureDefinition/Resource}","Contract Valued Item Type","Specific type of Contract Valued Item that may be priced.","","","","","","","","","",,,,,"",,,,"Contract.valuedItem.entity[x]",0,1,"","","COCT_RM440000UV09 ValuedItem code"
"Contract.valuedItem.identifier","","","",0,1,"","","","Identifier
","Contract Valued Item Identifier","Identifies a Contract Valued Item instance.","","","","","","","","","",,,,,"",,,,"Contract.valuedItem.identifier",0,1,"","","COCT_RM440000UV09 ValuedItem id"
"Contract.valuedItem.effectiveTime","","","",0,1,"","","","dateTime
","Contract Valued Item Effective Tiem","Indicates the time during which this Contract ValuedItem information is effective.","","","","","","","","","",,,,,"",,,,"Contract.valuedItem.effectiveTime",0,1,"","","COCT_RM440000UV09 ValuedItem                effectiveTime"
"Contract.valuedItem.quantity","","","",0,1,"","","","Quantity {http://hl7.org/fhir/StructureDefinition/SimpleQuantity}
","Count of Contract Valued Items","Specifies the units by which the Contract Valued Item is measured or counted, and quantifies the countable or measurable Contract Valued Item instances.","","","","","","","","","",,,,,"",,,,"Contract.valuedItem.quantity",0,1,"","","COCT_RM440000UV09 ValuedItem unitQuantity"
"Contract.valuedItem.unitPrice","","","",0,1,"","","","Money
","Contract Valued Item fee, charge, or cost","A Contract Valued Item unit valuation measure.","","","","","","","","","",,,,,"",,,,"Contract.valuedItem.unitPrice",0,1,"","","COCT_RM440000UV09 ValuedItem unitPriceAmt"
"Contract.valuedItem.factor","","","",0,1,"","","","decimal
","Contract Valued Item Price Scaling Factor","A real number that represents a multiplier used in determining the overall value of the Contract Valued Item delivered. The concept of a Factor allows for a discount or surcharge multiplier to be applied to a monetary amount.","","","","","","","","","",,,,,"",,,,"Contract.valuedItem.factor",0,1,"","","COCT_RM440000UV09 ValuedItem factorNumber"
"Contract.valuedItem.points","","","",0,1,"","","","decimal
","Contract Valued Item Difficulty Scaling Factor","An amount that expresses the weighting (based on difficulty, cost and/or resource intensiveness) associated with the Contract Valued Item delivered. The concept of Points allows for assignment of point values for a Contract Valued Item, such that a monetary amount can be assigned to each point.","","","","","","","","","",,,,,"",,,,"Contract.valuedItem.points",0,1,"","","COCT_RM440000UV09 ValuedItem pointNumber"
"Contract.valuedItem.net","","","",0,1,"","","","Money
","Total Contract Valued Item Value","Expresses the product of the Contract Valued Item unitQuantity and the unitPriceAmt. For example, the formula: unit Quantity * unit Price (Cost per Point) * factor Number  * points = net Amount. Quantity, factor and points are assumed to be 1 if not supplied.","","","","","","","","","",,,,,"",,,,"Contract.valuedItem.net",0,1,"","","COCT_RM440000UV09 ValuedItem netAmt"
"Contract.term","","","",0,*,"","","","BackboneElement
","Contract Term List","One or more Contract Provisions, which may be related and conveyed as a group, and may contain nested groups.","","","","","","","","","",,,,,"",,,,"Contract.term",0,*,"","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
"
"Contract.term.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Contract.term.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"Contract.term.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"Contract.term.identifier","","","",0,1,"","","Y","Identifier
","Contract Term identifier","Unique identifier for this particular Contract Provision.","","","","","","","","","",,,,,"",,,,"Contract.term.identifier",0,1,"",""
"Contract.term.issued","","","",0,1,"","","Y","dateTime
","Contract Term Issue Date Time","When this Contract Provision was issued.","","","","","","","","","",,,,,"",,,,"Contract.term.issued",0,1,"",""
"Contract.term.applies","","","",0,1,"","","Y","Period
","Contract Term Effective Time","Relevant time or time-period when this Contract Provision is applicable.","","","","","","","","","",,,,,"",,,,"Contract.term.applies",0,1,"",""
"Contract.term.type","","","",0,1,"","","","CodeableConcept
","Contract Term Type","Type of Contract Provision such as specific requirements, purposes for actions, obligations, prohibitions, e.g. life time maximum benefit.","","","","","","","","","",,"example","Detailed codes for the types of contract provisions.","http://hl7.org/fhir/ValueSet/contract-term-type","",,,,"Contract.term.type",0,1,"",""
"Contract.term.subType","","","",0,1,"","","","CodeableConcept
","Contract Term Subtype","Subtype of this Contract Provision, e.g. life time maximum payment for a contract term for specific valued item, e.g. disability payment.","","","","","","","","","",,"example","Detailed codes for the subtypes of contract provisions.","http://hl7.org/fhir/ValueSet/contract-term-subtype","",,,,"Contract.term.subType",0,1,"",""
"Contract.term.topic","","","",0,*,"","","Y","Reference {http://hl7.org/fhir/StructureDefinition/Resource}
","Context of the Contract term","The matter of concern in the context of this provision of the agrement.","The Contract.term.topic, as a Contract Resource subpart, is handled in the same manner as the Contract Resource as discussed above.","A contract term topic is typically about a portion of the contract topic which has additional or specialized rights, privileges, obligations, restrictions, and prohibitions that are binding on any grantor and grantee parties upon the execution of the contract.  Contract.term.topic may be described in more detail in the [0..*] Contract.term.valuedItem @[0..1] Contract.term.valuedItem [x] Definition: Specific type of Contract Provision Valued Item that may be priced. CodeableConcept|Reference(Any) [See Contract.topic Requirements for further elaboration on this requirement.].","","","","","","","",,,,,"",,,,"Contract.term.topic",0,*,"","","Role"
"Contract.term.action","","","",0,*,"","","","CodeableConcept
","Contract Term Action","Action stipulated by this Contract Provision.","","","","","","","","","",,"example","Detailed codes for the contract action.","http://hl7.org/fhir/ValueSet/contract-action","",,,,"Contract.term.action",0,*,"",""
"Contract.term.actionReason","","","",0,*,"","","","CodeableConcept
","Contract Term Action Reason","Reason or purpose for the action stipulated by this Contract Provision.","","","","","","","","","",,"example","Detailed codes for the contract action reason.","http://hl7.org/fhir/ValueSet/v3-PurposeOfUse","",,,,"Contract.term.actionReason",0,*,"",""
"Contract.term.agent","","","",0,*,"","","","BackboneElement
","Contract Term Agent List","An actor taking a role in an activity for which it can be assigned some degree of responsibility for the activity taking place.","Several agents may be associated (i.e. has some responsibility for an activity) with an activity and vice-versa. For example, in cases of actions initiated by one user for other users, or in events that involve more than one user, hardware device, software, or system process. However, only one user may be the initiator/requestor for the event.","An agent can be a person, an organization, software, device, or other entities that may be ascribed responsibility.","","","","","","","",,,,,"",,,,"Contract.term.agent",0,*,"","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
"
