Template,Map,Source Property 1,Source Value 1,Source Display 1,Source Property 2,Source Value 2,Target Property 1,Target Value 1,Target Display 1,Target System 1,Match,Status,Note
Person Name,CF_NameUse,use,  PHON,phonetic,,,,,,,,,
Person Name,CF_NameUse,use,  SNDX,Soundex,,,,,,,,,
Person Name,CF_NameUse,use,ABC,Alphabetic,,,,,,,,,
Person Name,CF_NameUse,use,SYL,Syllabic,,,,,,,,,
Person Name,CF_NameUse,use,IDE,Ideographic,,,,,,,,,
Person Name Part,CF_NameQualifier,qualifier,,,,,,,,,,,
Problem Status,CF_ProblemStatus,value,246455001,Recurrence (qualifier value),,,clinicalStatus,recurrence,Recurrence,,,,
Problem Status,CF_ProblemStatus,value,263855007,Relapse phase (qualifier value),,,clinicalStatus,relapse,Relapse,,,,
Problem Status,CF_ProblemStatus,value,277022003,Remission phase (qualifier value),,,clinicalStatus,remission,Remission,,,,
Problem Status,CF_ProblemStatus,value,413322009,Problem resolved (finding),,,clinicalStatus,resolved,Resolved,,,,
Problem Status,CF_ProblemStatus,value,55561003,Active (qualifier value),,,clinicalStatus,active,Active,,,,
Problem Status,CF_ProblemStatus,value,73425007,Inactive (qualifier value),,,clinicalStatus,inactive,Inactive,,,,
Medication Activity,CF_MedStatus,status,aborted,aborted,,,status,stopped,Stopped,,,,
Medication Activity,CF_MedStatus,status,active,active,,,status,active,Active,,,,
Medication Activity,CF_MedStatus,status,completed,completed,,,status,completed,Completed,,,,
Medication Activity,CF_MedStatus,status,nullified,nullified,,,status,entered-in-error,Entered in Error,,,,
Medication Activity,CF_MedStatus,status,suspended,suspended,,,status,on-hold,On Hold,,,,
Person Name,CF_NameUse,use,L,Legal,,,Human Name use,official,official,,,,
Person Name Part ,CF_NamePartQualifier,qualifier,CL,callme,,,Human Name use,nickname,nickname,,,,
Immunization Activity,CF_ImmunizationReqStatus,statusCode,aborted,aborted,,,Request status,stopped,match,,,,
Immunization Activity,CF_ImmunizationReqStatus,statusCode,active,active,,,Request status,active,match,,,,
Immunization Activity,CF_ImmunizationReqStatus,statusCode,cancelled,cancelled,,,Request status,cancelled,match,,,,
Immunization Activity,CF_ImmunizationReqStatus,statusCode,completed,completed,,,Request status,completed,match,,,,
Immunization Activity,CF_ImmunizationReqStatus,statusCode,held,held,,,Request status,on-hold,broader,,,,
Immunization Activity,CF_ImmunizationReqStatus,statusCode,new,new,,,Request status,draft,broader,,,,
Immunization Activity,CF_ImmunizationReqStatus,statusCode,normal,normal,,,Request status,<not supported>,,,,,abstract
Immunization Activity,CF_ImmunizationReqStatus,statusCode,nullified,nullified,,,Request status,entered-in-error,broader,,,,
Immunization Activity,CF_ImmunizationReqStatus,statusCode,obsolete,obsolete,,,Request status,entered-in-error,broader,,,,
Immunization Activity,CF_ImmunizationReqStatus,statusCode,suspended,suspended,,,Request status,on-hold,broader,,,,
Immunization Activity,CF_ImmunizationStatus,statusCode,aborted,aborted,,,Imm status,not-done,not-done,,broader,,
Immunization Activity,CF_ImmunizationStatus,statusCode,active,active,,,Imm status,<not supported>,,,,,abstract
Immunization Activity,CF_ImmunizationStatus,statusCode,cancelled,cancelled,,,Imm status,not-done,not-done,,broader,,
Immunization Activity,CF_ImmunizationStatus,statusCode,completed,completed,,,Imm status,completed,completed,,match,,
Immunization Activity,CF_ImmunizationStatus,statusCode,held,held,,,Imm status,not-done,not-done,,broader,,
Immunization Activity,CF_ImmunizationStatus,statusCode,new,new,,,Imm status,not-done,not-done,,broader,,
Immunization Activity,CF_ImmunizationStatus,statusCode,normal,normal,,,Imm status,<not supported>,,,,,abstract value; not expected
Immunization Activity,CF_ImmunizationStatus,statusCode,nullified,nullified,,,Imm status,not-done,not-done,,broader,,
Immunization Activity,CF_ImmunizationStatus,statusCode,obsolete,obsolete,,,Imm status,not-done,not-done,,broader,,
Immunization Activity,CF_ImmunizationStatus,statusCode,suspended,suspended,,,Imm status,not-done,not-done,,broader,,
Any,CF_NullAbsent,,NI,No information,,,Any,unknown,,,match,,"Per US Guidance, for required fields only"
Any,CF_NullAbsent,,NI,No information,,,Any,<not supported>,,,,,"For optional fields, do not return value"
Any,CF_NullAbsent,,OTH,other,,,Any,unsupported,,,broader,,
Any,CF_NullAbsent,,NINF,negative infinity,,,Any,negative-infinity,,,match,,
Any,CF_NullAbsent,,PINF,positive infinity,,,Any,positive-infinity,,,match,,
Any,CF_NullAbsent,,MSK,masked,,,Any,masked,,,match,,
Any,CF_NullAbsent,,NA,not applicable,,,Any,not-applicable,,,match,,
Any,CF_NullAbsent,,UNK,unknown,,,Any,unknown,,,broader,,
Any,CF_NullAbsent,,ASKU,asked but unknown,,,Any,asked-unknown,,,match,,
Any,CF_NullAbsent,,NAV,temporarily unavailable,,,Any,temp-unknown,,,match,,
Any,CF_NullAbsent,,NASK,not asked,,,Any,not-asked,,,match,,
Any,CF_NullAbsent,,TRC,trace,,,Any,unsupported,,,broader,,
Any,CF_NullAbsent,,NP,not present,,,Any,unknown,,,broader,,Retired
Procedure Activity [$],CF_ProcedureStatus,,aborted,aborted,,,status,stopped,stopped,,,,
Procedure Activity [$],CF_ProcedureStatus,,active,active,,,status,in-progress,in-progress,,,,
Procedure Activity [$],CF_ProcedureStatus,,cancelled,cancelled,,,status,not-done,not-done,,,,
Procedure Activity [$],CF_ProcedureStatus,,completed,completed,,,status,completed,completed,,,,
