FHIR field,Case,Approach,CCDA template,Element,Value,Parameter,xpath,comment,Back to Index,CDA-FHIR,class
.documentType,,source value,,.reference.ExternalDocument.code,,"reference.typeCode=REFR
ExternalDocument.id.root= 2.16.840.1.113883.4.873",/reference/ExternalDocument/code,,,,Mismatch in structures
.reference,,source value,,.reference.ExternalDocument.id,,"reference.typeCode=REFR
ExternalDocument.id.root= 2.16.840.1.113883.4.873",/reference/ExternalDocument,,,,Mismatch in structures
.publicationDate,,not supported by target,,,,,,,,,
.presentationDate,,not supported by target,,,,,,,,,
programEligibility,,not supported by target,,,,,,,,,
fundingSource,,not supported by target,,,,,,,,,
reaction,,[backbone],,,,,,,,,
.date,,source value,.Reaction Observation,effectiveTime,,,/entryRelationship/observation[templateid/@root='2.16.840.1.113883.10.20.22.4.9']/effectiveTime,,,,
.detail,,source value,.Reaction Observation,,,,/entryRelationship/observation[templateid/@root='2.16.840.1.113883.10.20.22.4.9']/,Elements not specified,,,guidance required
.reported,,not supported by target,,,,,,,,,
protocolApplied,,not supported by target,,,,,,,,,
.series,,not supported by target,,,,,,,,,
.authority,,not supported by target,,,,,,,,,
.targetDisease,,not supported by target,,,,,,,,,
.doseNumber[x],,[backbone],,,,,,,,,
.doseNumberPositiveInt,,source value,Immunization Activity,repeatNumber,,,/repeatNumber,,,,
.doseNumberString,,not supported by target,,,,,,,,,
.seriesDoses[x],,[backbone],,,,,,,,,
.seriesDosesPositiveInt,,not supported by target,,,,,,,,,
.seriesDosesString,,not supported by target,,,,,,,,,
